feature,count,mean,std,min,25%,50%,75%,max
footfall,944.0,306.3813559322034,1082.606745077667,0.0,1.0,22.0,110.0,7300.0
tempMode,944.0,3.7277542372881354,2.6772346171196837,0.0,1.0,3.0,7.0,7.0
AQ,944.0,4.325211864406779,1.4384361565557473,1.0,3.0,4.0,6.0,7.0
USS,944.0,2.9396186440677967,1.3837253812680816,1.0,2.0,3.0,4.0,7.0
CS,944.0,5.3940677966101696,1.269349404444306,1.0,5.0,6.0,6.0,7.0
VOC,944.0,2.8421610169491527,2.273337083858358,0.0,1.0,2.0,5.0,6.0
RP,944.0,47.043432203389834,16.423130472188713,19.0,34.0,44.0,58.0,91.0
IP,944.0,4.565677966101695,1.5992866802358294,1.0,3.0,4.0,6.0,7.0
Temperature,944.0,16.33156779661017,5.974780799225371,1.0,14.0,17.0,21.0,24.0
fail,944.0,0.4163135593220339,0.49320813481593295,0.0,0.0,0.0,1.0,1.0
