feature,importance
risk_score,0.22480580141704098
machine_health_index,0.17472840372977547
VOC,0.1231663755681648
air_pressure_ratio,0.10794267151696631
air_risk,0.10655092393555658
sensor_gap,0.05492544679737773
sensor_stability,0.02802641640059697
AQ,0.027967542341917874
USS,0.024934864800979343
operating_intensity,0.016518918609429074
mechanical_pressure,0.016281376976603316
CS,0.016116485307370393
control_balance,0.013839736545237383
RP,0.013671243604582996
footfall,0.012934644082196873
thermal_load,0.012446786924445454
Temperature,0.010421232172538571
tempMode,0.0076298433623523615
IP,0.007091285906867698
