feature,mean_abs_shap
risk_score,0.1167201910634579
machine_health_index,0.09889736071255095
VOC,0.05629956394672607
air_pressure_ratio,0.045926537598239205
air_risk,0.044952753345699495
sensor_gap,0.04133161252226812
USS,0.017650267508151928
sensor_stability,0.016018046698872985
CS,0.012932196392446778
AQ,0.012086753288393788
control_balance,0.005696532236532893
footfall,0.0047943974248791914
mechanical_pressure,0.004611241772511493
operating_intensity,0.004050654758365377
RP,0.0037793087759880797
Temperature,0.0028504415850318784
thermal_load,0.0026259531476813475
IP,0.00234315833984202
tempMode,0.002226199078642917
